ano,sigla_uf,estado,qtd_armas,regiao
2011,AC,Acre,174,NORTE
2011,AL,Alagoas,254,NORDESTE
2011,AM,Amazonas,241,NORTE
2011,AP,Amapa,36,NORTE
2011,BA,Bahia,2307,NORDESTE
2011,CE,Ceara,668,NORDESTE
2011,DF,Distrito Federal,524,CENTRO-OESTE
2011,ES,Espirito Santo,358,SUDESTE
2011,GO,Goias,569,CENTRO-OESTE
2011,MA,Maranhao,192,NORDESTE
2011,MG,Minas Gerais,3111,SUDESTE
2011,MS,Mato Grosso do Sul,457,CENTRO-OESTE
2011,MT,Mato Grosso,458,CENTRO-OESTE
2011,PA,Para,425,NORTE
2011,PB,Paraiba,424,NORDESTE
2011,PE,Pernambuco,2246,NORDESTE
2011,PI,Piaui,151,NORDESTE
2011,PR,Parana,1589,SUL
2011,RJ,Rio de Janeiro,3975,SUDESTE
2011,RN,Rio Grande do Norte,322,NORDESTE
2011,RO,Rondonia,87,NORTE
2011,RR,Roraima,37,NORTE
2011,RS,Rio Grande do Sul,4690,SUL
2011,SC,Santa Catarina,899,SUL
2011,SE,Sergipe,278,NORDESTE
2011,SP,Sao Paulo,10230,SUDESTE
2011,TO,Tocantins,47,NORTE
2012,AC,Acre,243,NORTE
2012,AL,Alagoas,272,NORDESTE
2012,AM,Amazonas,116,NORTE
2012,AP,Amapa,25,NORTE
2012,BA,Bahia,4748,NORDESTE
2012,CE,Ceara,315,NORDESTE
2012,DF,Distrito Federal,350,CENTRO-OESTE
2012,ES,Espirito Santo,280,SUDESTE
2012,GO,Goias,335,CENTRO-OESTE
2012,MA,Maranhao,248,NORDESTE
2012,MG,Minas Gerais,2761,SUDESTE
2012,MS,Mato Grosso do Sul,329,CENTRO-OESTE
2012,MT,Mato Grosso,183,CENTRO-OESTE
2012,PA,Para,154,NORTE
2012,PB,Paraiba,310,NORDESTE
2012,PE,Pernambuco,902,NORDESTE
2012,PI,Piaui,153,NORDESTE
2012,PR,Parana,988,SUL
2012,RJ,Rio de Janeiro,2251,SUDESTE
2012,RN,Rio Grande do Norte,182,NORDESTE
2012,RO,Rondonia,65,NORTE
2012,RR,Roraima,6,NORTE
2012,RS,Rio Grande do Sul,3257,SUL
2012,SC,Santa Catarina,753,SUL
2012,SE,Sergipe,165,NORDESTE
2012,SP,Sao Paulo,7872,SUDESTE
2012,TO,Tocantins,53,NORTE
2013,AC,Acre,156,NORTE
2013,AL,Alagoas,631,NORDESTE
2013,AM,Amazonas,114,NORTE
2013,AP,Amapa,19,NORTE
2013,BA,Bahia,3853,NORDESTE
2013,CE,Ceara,451,NORDESTE
2013,DF,Distrito Federal,439,CENTRO-OESTE
2013,ES,Espirito Santo,455,SUDESTE
2013,GO,Goias,238,CENTRO-OESTE
2013,MA,Maranhao,241,NORDESTE
2013,MG,Minas Gerais,3371,SUDESTE
2013,MS,Mato Grosso do Sul,342,CENTRO-OESTE
2013,MT,Mato Grosso,188,CENTRO-OESTE
2013,PA,Para,224,NORTE
2013,PB,Paraiba,321,NORDESTE
2013,PE,Pernambuco,3110,NORDESTE
2013,PI,Piaui,131,NORDESTE
2013,PR,Parana,1411,SUL
2013,RJ,Rio de Janeiro,1893,SUDESTE
2013,RN,Rio Grande do Norte,159,NORDESTE
2013,RO,Rondonia,165,NORTE
2013,RR,Roraima,15,NORTE
2013,RS,Rio Grande do Sul,3639,SUL
2013,SC,Santa Catarina,977,SUL
2013,SE,Sergipe,156,NORDESTE
2013,SP,Sao Paulo,8510,SUDESTE
2013,TO,Tocantins,55,NORTE
2014,AC,Acre,35,NORTE
2014,AL,Alagoas,89,NORDESTE
2014,AM,Amazonas,65,NORTE
2014,AP,Amapa,18,NORTE
2014,BA,Bahia,329,NORDESTE
2014,CE,Ceara,157,NORDESTE
2014,DF,Distrito Federal,326,CENTRO-OESTE
2014,ES,Espirito Santo,471,SUDESTE
2014,GO,Goias,139,CENTRO-OESTE
2014,MA,Maranhao,175,NORDESTE
2014,MG,Minas Gerais,1730,SUDESTE
2014,MS,Mato Grosso do Sul,140,CENTRO-OESTE
2014,MT,Mato Grosso,154,CENTRO-OESTE
2014,PA,Para,201,NORTE
2014,PB,Paraiba,176,NORDESTE
2014,PE,Pernambuco,1701,NORDESTE
2014,PI,Piaui,60,NORDESTE
2014,PR,Parana,831,SUL
2014,RJ,Rio de Janeiro,1243,SUDESTE
2014,RN,Rio Grande do Norte,103,NORDESTE
2014,RO,Rondonia,68,NORTE
2014,RR,Roraima,23,NORTE
2014,RS,Rio Grande do Sul,1621,SUL
2014,SC,Santa Catarina,488,SUL
2014,SE,Sergipe,62,NORDESTE
2014,SP,Sao Paulo,6085,SUDESTE
