estado,cidade,crime,mes,qtde_crimes
paraiba,aguiar,homicidio doloso,janeiro,1
paraiba,alagoa grande,homicidio doloso,janeiro,1
paraiba,alagoinha,homicidio doloso,janeiro,1
paraiba,alcantil,roubo de veiculo,janeiro,1
paraiba,alhandra,homicidio doloso,janeiro,3
paraiba,aracagi,homicidio doloso,janeiro,1
paraiba,arara,homicidio doloso,janeiro,1
paraiba,areial,homicidio doloso,janeiro,1
paraiba,assuncao,homicidio doloso,janeiro,2
paraiba,bananeiras,homicidio doloso,janeiro,1
paraiba,barra de sao miguel,homicidio doloso,janeiro,1
paraiba,bayeux,estupro,janeiro,3
paraiba,bayeux,homicidio doloso,janeiro,4
paraiba,bayeux,roubo seguido de morte (latrocinio),janeiro,1
paraiba,belem,estupro,janeiro,2
paraiba,boqueirao,furto de veiculo,janeiro,1
paraiba,boqueirao,roubo de veiculo,,1
paraiba,brejo do cruz,homicidio doloso,janeiro,1
paraiba,caapora,homicidio doloso,janeiro,1
paraiba,cabaceiras,homicidio doloso,janeiro,1
paraiba,cabedelo,estupro,janeiro,2
paraiba,cabedelo,homicidio doloso,janeiro,3
paraiba,cachoeira dos indios,estupro,janeiro,1
paraiba,cajazeiras,homicidio doloso,janeiro,2
paraiba,camalau,homicidio doloso,janeiro,1
paraiba,campina grande,estupro,janeiro,6
paraiba,campina grande,homicidio doloso,janeiro,6
paraiba,caraubas,furto de veiculo,janeiro,1
paraiba,catole do rocha,homicidio doloso,janeiro,2
paraiba,condado,estupro,janeiro,1
paraiba,conde,homicidio doloso,janeiro,4
paraiba,congo,homicidio doloso,janeiro,1
paraiba,coremas,homicidio doloso,janeiro,1
paraiba,coxixola,homicidio doloso,janeiro,1
paraiba,dona ines,furto de veiculo,janeiro,1
paraiba,duas estradas,homicidio doloso,janeiro,1
paraiba,guarabira,estupro,janeiro,1
paraiba,itabaiana,homicidio doloso,janeiro,1
paraiba,jacarau,furto de veiculo,janeiro,1
paraiba,joao pessoa,estupro,janeiro,15
paraiba,joao pessoa,furto de veiculo,janeiro,1
paraiba,joao pessoa,homicidio doloso,janeiro,31
paraiba,joao pessoa,roubo de veiculo,janeiro,1
paraiba,joao pessoa,roubo seguido de morte (latrocinio),janeiro,2
paraiba,junco do serido,estupro,janeiro,1
paraiba,lagoa seca,furto de veiculo,janeiro,1
paraiba,lagoa seca,roubo de veiculo,janeiro,1
paraiba,mamanguape,furto de veiculo,janeiro,3
paraiba,mamanguape,homicidio doloso,janeiro,2
paraiba,mamanguape,roubo de veiculo,janeiro,3
paraiba,mari,roubo de veiculo,janeiro,1
