ano,qtde_ocorrencias,crime,regiao,estado
2010,0,Policiais Mortos em Servico,norte,acre
2010,0,Policiais Mortos em Servico,nordeste,alagoas
2010,0,Policiais Mortos em Servico,norte,amazonas
2010,0,Policiais Mortos em Servico,norte,amapa
2010,0,Policiais Mortos em Servico,nordeste,bahia
2010,0,Policiais Mortos em Servico,nordeste,ceara
2010,0,Policiais Mortos em Servico,centro-oeste,distrito federal
2010,0,Policiais Mortos em Servico,sudeste,espirito santo
2010,0,Policiais Mortos em Servico,centro-oeste,goias
2010,0,Policiais Mortos em Servico,nordeste,maranhao
2010,0,Policiais Mortos em Servico,sudeste,minas gerais
2010,0,Policiais Mortos em Servico,centro-oeste,mato grosso do sul
2010,4,Policiais Mortos em Servico,centro-oeste,mato grosso
2010,0,Policiais Mortos em Servico,norte,para
2010,0,Policiais Mortos em Servico,nordeste,paraiba
2010,30,Policiais Mortos em Servico,nordeste,pernambuco
2010,1,Policiais Mortos em Servico,nordeste,piaui
2010,19,Policiais Mortos em Servico,sul,parana
2010,20,Policiais Mortos em Servico,sudeste,rio de janeiro
2010,1,Policiais Mortos em Servico,nordeste,rio grande do norte
2010,0,Policiais Mortos em Servico,norte,rondonia
2010,0,Policiais Mortos em Servico,norte,roraima
2010,0,Policiais Mortos em Servico,sul,rio grande do sul
2010,0,Policiais Mortos em Servico,sul,santa catarina
2010,1,Policiais Mortos em Servico,nordeste,sergipe
2010,25,Policiais Mortos em Servico,sudeste,sao paulo
2010,0,Policiais Mortos em Servico,norte,tocantins
2011,0,Policiais Mortos em Servico,norte,acre
2011,0,Policiais Mortos em Servico,nordeste,alagoas
2011,1,Policiais Mortos em Servico,norte,amazonas
2011,0,Policiais Mortos em Servico,norte,amapa
2011,10,Policiais Mortos em Servico,nordeste,bahia
2011,0,Policiais Mortos em Servico,nordeste,ceara
2011,0,Policiais Mortos em Servico,centro-oeste,distrito federal
2011,0,Policiais Mortos em Servico,sudeste,espirito santo
2011,2,Policiais Mortos em Servico,centro-oeste,goias
2011,1,Policiais Mortos em Servico,nordeste,maranhao
2011,0,Policiais Mortos em Servico,sudeste,minas gerais
2011,0,Policiais Mortos em Servico,centro-oeste,mato grosso do sul
2011,0,Policiais Mortos em Servico,centro-oeste,mato grosso
2011,7,Policiais Mortos em Servico,norte,para
2011,0,Policiais Mortos em Servico,nordeste,paraiba
