ano;qtde_ocorrencias;crime;regiao;estado
2007;13;Homicidio culposo de transito;norte;acre
2007;195;Homicidio culposo de transito;nordeste;alagoas
2007;30;Homicidio culposo de transito;norte;amazonas
2007;12;Homicidio culposo de transito;norte;amapa
2007;981;Homicidio culposo de transito;nordeste;bahia
2007;750;Homicidio culposo de transito;nordeste;ceara
2007;337;Homicidio culposo de transito;centro-oeste;distrito federal
2007;405;Homicidio culposo de transito;sudeste;espirito santo
2007;965;Homicidio culposo de transito;centro-oeste;goias
2007;770;Homicidio culposo de transito;nordeste;maranhao
2007;331;Homicidio culposo de transito;sudeste;minas gerais
2007;362;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2007;468;Homicidio culposo de transito;centro-oeste;mato grosso
2007;775;Homicidio culposo de transito;norte;para
2007;314;Homicidio culposo de transito;nordeste;paraiba
2007;74;Homicidio culposo de transito;nordeste;pernambuco
2007;372;Homicidio culposo de transito;nordeste;piaui
2007;0;Homicidio culposo de transito;sul;parana
2007;2459;Homicidio culposo de transito;sudeste;rio de janeiro
2007;548;Homicidio culposo de transito;nordeste;rio grande do norte
2007;267;Homicidio culposo de transito;norte;rondonia
2007;129;Homicidio culposo de transito;norte;roraima
2007;1143;Homicidio culposo de transito;sul;rio grande do sul
2007;631;Homicidio culposo de transito;sul;santa catarina
2007;32;Homicidio culposo de transito;nordeste;sergipe
2007;4848;Homicidio culposo de transito;sudeste;sao paulo
2007;159;Homicidio culposo de transito;norte;tocantins
2008;21;Homicidio culposo de transito;norte;acre
2008;304;Homicidio culposo de transito;nordeste;alagoas
2008;111;Homicidio culposo de transito;norte;amazonas
2008;25;Homicidio culposo de transito;norte;amapa
2008;990;Homicidio culposo de transito;nordeste;bahia
2008;554;Homicidio culposo de transito;nordeste;ceara
2008;340;Homicidio culposo de transito;centro-oeste;distrito federal
2008;485;Homicidio culposo de transito;sudeste;espirito santo
2008;888;Homicidio culposo de transito;centro-oeste;goias
2008;777;Homicidio culposo de transito;nordeste;maranhao
2008;271;Homicidio culposo de transito;sudeste;minas gerais
2008;367;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2008;362;Homicidio culposo de transito;centro-oeste;mato grosso
2008;1050;Homicidio culposo de transito;norte;para
2008;368;Homicidio culposo de transito;nordeste;paraiba
2008;102;Homicidio culposo de transito;nordeste;pernambuco
2008;400;Homicidio culposo de transito;nordeste;piaui
2008;2077;Homicidio culposo de transito;sul;parana
2008;2365;Homicidio culposo de transito;sudeste;rio de janeiro
2008;337;Homicidio culposo de transito;nordeste;rio grande do norte
2008;251;Homicidio culposo de transito;norte;rondonia
2008;71;Homicidio culposo de transito;norte;roraima
2008;1215;Homicidio culposo de transito;sul;rio grande do sul
2008;427;Homicidio culposo de transito;sul;santa catarina
2008;242;Homicidio culposo de transito;nordeste;sergipe
2008;4671;Homicidio culposo de transito;sudeste;sao paulo
2008;188;Homicidio culposo de transito;norte;tocantins
2009;133;Homicidio culposo de transito;norte;acre
2009;231;Homicidio culposo de transito;nordeste;alagoas
2009;140;Homicidio culposo de transito;norte;amazonas
2009;16;Homicidio culposo de transito;norte;amapa
2009;1015;Homicidio culposo de transito;nordeste;bahia
2009;468;Homicidio culposo de transito;nordeste;ceara
2009;306;Homicidio culposo de transito;centro-oeste;distrito federal
2009;147;Homicidio culposo de transito;sudeste;espirito santo
2009;795;Homicidio culposo de transito;centro-oeste;goias
2009;834;Homicidio culposo de transito;nordeste;maranhao
2009;0;Homicidio culposo de transito;sudeste;minas gerais
2009;262;Homicidio culposo de transito;centro-oeste;mato grosso do sul
2009;504;Homicidio culposo de transito;centro-oeste;mato grosso
2009;842;Homicidio culposo de transito;norte;para
2009;416;Homicidio culposo de transito;nordeste;paraiba
2009;178;Homicidio culposo de transito;nordeste;pernambuco
2009;356;Homicidio culposo de transito;nordeste;piaui
2009;2080;Homicidio culposo de transito;sul;parana
2009;1991;Homicidio culposo de transito;sudeste;rio de janeiro
2009;307;Homicidio culposo de transito;nordeste;rio grande do norte
2009;252;Homicidio culposo de transito;norte;rondonia
2009;0;Homicidio culposo de transito;norte;roraima
2009;1241;Homicidio culposo de transito;sul;rio grande do sul
2009;460;Homicidio culposo de transito;sul;santa catarina
2009;296;Homicidio culposo de transito;nordeste;sergipe
2009;4536;Homicidio culposo de transito;sudeste;sao paulo
2009;138;Homicidio culposo de transito;norte;tocantins
2010;106;Homicidio culposo de transito;norte;acre
2010;427;Homicidio culposo de transito;nordeste;alagoas
2010;269;Homicidio culposo de transito;norte;amazonas
2010;4;Homicidio culposo de transito;norte;amapa
