cidade, populacao ,estado
alta floresta doeste,25437,Rondonia
ariquemes,107345,Rondonia
cabixi,6224,Rondonia
cacoal,88507,Rondonia
cerejeiras,17934,Rondonia
colorado do oeste,18467,Rondonia
corumbiara,8659,Rondonia
costa marques,17400,Rondonia
espigao doeste,33030,Rondonia
guajara-mirim,47451,Rondonia
jaru,55871,Rondonia
ji-parana,132667,Rondonia
machadinho doeste,38609,Rondonia
nova brasilandia doeste,21747,Rondonia
ouro preto do oeste,39759,Rondonia
pimenta bueno,38051,Rondonia
porto velho,519436,Rondonia
presidente medici,22124,Rondonia
rio crespo,3829,Rondonia
rolim de moura,57074,Rondonia
santa luzia doeste,8198,Rondonia
vilhena,95630,Rondonia
sao miguel do guapore,24181,Rondonia
nova mamore,28891,Rondonia
alvorada doeste,16747,Rondonia
alto alegre dos parecis,14045,Rondonia
alto paraiso,20916,Rondonia
buritis,39044,Rondonia
novo horizonte do oeste,10051,Rondonia
cacaulandia,6460,Rondonia
campo novo de rondonia,14484,Rondonia
candeias do jamari,25266,Rondonia
castanheiras,3550,Rondonia
chupinguaia,10593,Rondonia
cujubim,22443,Rondonia
governador jorge teixeira,9745,Rondonia
itapua do oeste,10310,Rondonia
ministro andreazza,10751,Rondonia
mirante da serra,12258,Rondonia
monte negro,16186,Rondonia
nova uniao,7769,Rondonia
parecis,5904,Rondonia
pimenteiras do oeste,2410,Rondonia
primavera de rondonia,3411,Rondonia
sao felipe doeste,5994,Rondonia
sao francisco do guapore,19694,Rondonia
seringueiras,12653,Rondonia
teixeiropolis,4931,Rondonia
theobroma,11350,Rondonia
urupa,13106,Rondonia
vale do anari,11149,Rondonia
vale do paraiso,8047,Rondonia
acrelandia,14366,acre
assis brasil,6986,acre
brasileia,24765,acre
bujari,9664,acre
capixaba,11136,acre
cruzeiro do sul,82622,acre
epitaciolandia,17340,acre
feijo,32360,acre
jordao,7858,acre
mancio lima,17910,acre
manoel urbano,8886,acre
marechal thaumaturgo,17897,acre
placido de castro,18510,acre
porto walter,11353,acre
rio branco,383443,acre
rodrigues alves,17945,acre
santa rosa do purus,6230,acre
senador guiomard,21552,acre
sena madureira,43139,acre
tarauaca,40024,acre
xapuri,18174,acre
porto acre,17459,acre
alvaraes,15908,amazonas
amatura,11242,amazonas
anama,12978,amazonas
anori,20196,amazonas
apui,21406,amazonas
atalaia do norte,19054,amazonas
autazes,38454,amazonas
barcelos,27743,amazonas
barreirinha,31542,amazonas
benjamin constant,41329,amazonas
beruri,18978,amazonas
boa vista do ramos,18483,amazonas
boca do acre,34176,amazonas
borba,40464,amazonas
caapiranga,12820,amazonas
canutama,15490,amazonas
carauari,28337,amazonas
careiro,37399,amazonas
careiro da varzea,29190,amazonas
coari,84762,amazonas
codajas,27817,amazonas
eirunepe,34888,amazonas
envira,19492,amazonas
fonte boa,19669,amazonas
guajara,16339,amazonas
humaita,53383,amazonas
ipixuna,28299,amazonas
iranduba,47407,amazonas
itacoatiara,99854,amazonas
itamarati,8128,amazonas
itapiranga,9125,amazonas
japura,4205,amazonas
jurua,13956,amazonas
jutai,15824,amazonas
labrea,44861,amazonas
manacapuru,96460,amazonas
manaquiri,30222,amazonas
manaus,2130264,amazonas
manicore,54708,amazonas
maraa,18531,amazonas
maues,62212,amazonas
nhamunda,20902,amazonas
nova olinda do norte,36431,amazonas
novo airao,18586,amazonas
novo aripuana,25112,amazonas
parintins,113832,amazonas
pauini,19597,amazonas
presidente figueiredo,34574,amazonas
rio preto da eva,32001,amazonas
santa isabel do rio negro,23765,amazonas
santo antonio do ica,23075,amazonas
sao gabriel da cachoeira,44553,amazonas
sao paulo de olivenca,38047,amazonas
sao sebastiao do uatuma,13421,amazonas
silves,9211,amazonas
tabatinga,63635,amazonas
tapaua,17930,amazonas
tefe,62021,amazonas
tonantins,18782,amazonas
uarini,13428,amazonas
urucara,16968,amazonas
urucurituba,22148,amazonas
amajari,11560,Roraima
alto alegre,15933,Roraima
boa vista,332020,Roraima
bonfim,11945,Roraima
canta,16877,Roraima
caracarai,20807,Roraima
caroebe,9493,Roraima
iracema,10859,Roraima
mucajai,16852,Roraima
normandia,10527,Roraima
pacaraima,12375,Roraima
rorainopolis,28215,Roraima
sao joao da baliza,7740,Roraima
sao luiz,7597,Roraima
uiramuta,9836,Roraima
abaetetuba,153380,Para
abel figueiredo,7231,Para
acara,54096,Para
afua,38144,Para
agua azul do norte,26682,Para
alenquer,55246,Para
almeirim,33195,Para
altamira,111435,Para
anajas,28466,Para
ananindeua,516057,Para
anapu,27096,Para
augusto correa,44734,Para
aurora do para,30471,Para
aveiro,15947,Para
bagre,29808,Para
baiao,46110,Para
bannach,3200,Para
barcarena,121190,Para
belem,1452275,Para
belterra,17249,Para
benevides,60990,Para
bom jesus do tocantins,16517,Para
bonito,15834,Para
braganca,124184,Para
brasil novo,14689,Para
brejo grande do araguaia,7182,Para
breu branco,64194,Para
breves,99896,Para
bujaru,28331,Para
cachoeira do piria,32947,Para
cachoeira do arari,23110,Para
cameta,134100,Para
canaa dos carajas,36027,Para
capanema,67150,Para
capitao poco,52839,Para
castanhal,195253,Para
chaves,23066,Para
colares,11759,Para
conceicao do araguaia,46571,Para
concordia do para,32395,Para
cumaru do norte,13093,Para
curionopolis,17453,Para
curralinho,33490,Para
curua,13996,Para
curuca,38959,Para
dom eliseu,58071,Para
eldorado do carajas,32892,Para
faro,7009,Para
floresta do araguaia,19746,Para
garrafao do norte,25363,Para
goianesia do para,39352,Para
gurupa,32458,Para
igarape-acu,37753,Para
igarape-miri,60994,Para
inhangapi,11388,Para
ipixuna do para,62237,Para
irituia,31673,Para
itaituba,98523,Para
itupiranga,51835,Para
jacareacanga,8059,Para
jacunda,57526,Para
juruti,56325,Para
limoeiro do ajuru,28138,Para
mae do rio,29260,Para
magalhaes barata,8316,Para
maraba,271594,Para
maracana,28679,Para
marapanim,27569,Para
marituba,127858,Para
medicilandia,30726,Para
melgaco,26897,Para
mocajuba,30277,Para
moju,79825,Para
mojui dos campos,15646,Para
monte alegre,56466,Para
muana,39231,Para
nova esperanca do piria,20789,Para
nova ipixuna,16221,Para
nova timboteua,14942,Para
novo progresso,25071,Para
novo repartimento,73802,Para
obidos,50727,Para
oeiras do para,31619,Para
oriximina,71078,Para
ourem,17356,Para
ourilandia do norte,31921,Para
pacaja,46383,Para
